Season,Episode,Month,Day,Year,Title,Directed By,Written By,Duration,Summary,U.S. Viewers,Rating
5,9,12,10,1998,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,22.0,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,23000000.0,0.6038461538461538
5,10,12,17,1998,The One with the Inappropriate Sister,Dana DeVally Piazza,Shana Goldberg-Meehan,22.0,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,23700000.0,0.5851851851851853
5,11,1,7,1999,The One with All the Resolutions,Joe Regalbuto,"Story by : Brian Boyle
Teleplay by : Suzie Villandry",22.0,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,27000000.0,0.6518518518518519
5,12,1,21,1999,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,22.0,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,24800000.0,0.6461538461538462
5,13,2,4,1999,The One with Joey's Bag,Gail Mancuso,"Story by : Michael Curtis
Teleplay by : Seth Kurland",22.0,"Phoebe's grandmother dies, and is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",24900000.0,0.6499999999999999
5,14,2,11,1999,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,22.0,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",27700000.0,0.6357142857142858
5,15,2,18,1999,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,22.0,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,29300000.0,0.6551724137931034
5,16,2,25,1999,The One with the Cop,Andrew Tsao,"Story by : Alicia Sky Varinaitis
Teleplay by : Gigi McCreery & Perry Rein",22.0,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",26000000.0,0.6285714285714287
5,17,3,18,1999,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,22.0,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,24500000.0,0.6148148148148148
5,18,4,8,1999,The One Where Rachel Smokes,Todd Holland,Michael Curtis,22.0,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",21900000.0,0.5692307692307692
5,19,4,22,1999,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,22.0,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",20900000.0,0.5760000000000001
5,20,4,29,1999,The One with the Ride Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,22.0,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,19600000.0,0.5791666666666667
5,21,5,6,1999,The One with the Ball,Gary Halvorson,"Story by : Scott Silveri
Teleplay by : Gregory S. Malins",22.0,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",20900000.0,0.5720000000000001
5,22,5,13,1999,The One with Joey's Big Break,Gary Halvorson,"Story by : Shana Goldberg-Meehan
Teleplay by : Wil Calhoun",22.0,"Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",21300000.0,0.5692307692307692
5,24,5,20,1999,The One in Vegas,Kevin S. Bright,Ted Cohen & Andrew ReichGregory S. Malins & Scott Silveri,44.0,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter. Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,25900000.0,0.5862068965517241
6,1,9,23,1999,The One After Vegas,Kevin S. Bright,Adam Chase,22.0,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,27700000.0,0.5933333333333334
6,2,9,30,1999,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,22.0,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,22900000.0,0.5851851851851853
6,3,10,7,1999,The One with Ross's Denial,Gary Halvorson,Seth Kurland,22.0,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,21600000.0,0.596
6,4,10,14,1999,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,22.0,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",21100000.0,0.6
6,5,10,21,1999,The One with Joey's Porsche,Gary Halvorson,Perry Rein & Gigi McCreery,22.0,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",22400000.0,0.6
6,6,11,4,1999,The One on the Last Night,David Schwimmer,Scott Silveri,22.0,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",23600000.0,0.6458333333333334
6,7,11,11,1999,The One Where Phoebe Runs,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,22.0,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,22700000.0,0.6291666666666667
6,8,11,18,1999,The One with Ross's Teeth,Gary Halvorson,"Story by : Andrew Reich & Ted Cohen
Teleplay by : Perry Rein & Gigi McCreery",22.0,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,22100000.0,0.6166666666666667
6,9,11,25,1999,The One Where Ross Got High,Kevin S. Bright,Gregory S. Malins,22.0,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,19200000.0,0.5190476190476191
6,10,12,16,1999,The One with the Routine,Kevin S. Bright,Brian Boyle,22.0,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",22400000.0,0.6
6,11,1,6,2000,The One with the Apothecary Table,Kevin S. Bright,"Story by : Zachary Rosenblatt
Teleplay by : Brian Boyle",22.0,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",22300000.0,0.6478260869565218
6,12,1,13,2000,The One with the Joke,Gary Halvorson,"Story by : Shana Goldberg-Meehan
Teleplay by : Andrew Reich & Ted Cohen",22.0,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",22300000.0,0.6565217391304348
6,13,2,3,2000,The One with Rachel's Sister,Gary Halvorson,"Story by : Seth Kurland
Teleplay by : Sherry Bilsing-Graham & Ellen Plummer",22.0,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",24100000.0,0.65
6,14,2,10,2000,The One Where Chandler Can't Cry,Kevin S. Bright,Andrew Reich & Ted Cohen,22.0,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",23800000.0,0.6416666666666667
6,16,2,17,2000,The One That Could Have Been,Michael Lembeck,Gregory S. Malins & Adam ChaseDavid Crane & Marta Kauffman,60.0,"When Rachel hears Barry and Mindy are getting divorced, the gang wonder how different their lives could have been. The gang continue to think about how different their lives could have been.",20700000.0,0.6423076923076922
6,17,2,24,2000,The One with Unagi,Gary Halvorson,"Story by : Zachary Rosenblatt
Teleplay by : Adam Chase",22.0,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,22100000.0,0.6260869565217392
6,18,3,9,2000,The One Where Ross Dates a Student,Gary Halvorson,Seth Kurland,22.0,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,20500000.0,0.6318181818181818
6,19,3,23,2000,The One with Joey's Fridge,Ben Weiss,"Story by : Seth Kurland
Teleplay by : Gigi McCreery & Perry Rein",22.0,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,21500000.0,0.5958333333333333
6,20,4,13,2000,The One with Mac and C.H.E.E.S.E.,Kevin S. Bright,Doty Abrams,22.0,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,18800000.0,0.5818181818181819
6,21,4,27,2000,The One Where Ross Meets Elizabeth's Dad,Michael Lembeck,"Story by : David J. Lagana
Teleplay by : Scott Silveri",22.0,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",20600000.0,0.588
6,22,5,4,2000,The One Where Paul's the Man,Gary Halvorson,"Story by : Brian Caldirola
Teleplay by : Sherry Bilsing-Graham & Ellen Plummer",22.0,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,20000000.0,0.5708333333333333
6,23,5,11,2000,The One with the Ring,Gary Halvorson,Ted Cohen & Andrew Reich,22.0,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,20900000.0,0.5760000000000001
